Name,Cast / Crew,Created,Recording Date,Status,Track,Whisky
Prohibition - Brown Forman,,"August 16, 2024 10:22 PM",,Published,Bourbon a Beginning,Old Forester
Prohibition - Stitzel-Weller,,"August 16, 2024 10:22 PM",,Published,Bourbon a Beginning,
Prohibition - Frankfort & AMS,,"August 16, 2024 10:27 PM",,,Bourbon a Beginning,
Bottled in Bond - E. H. Taylor,,"August 16, 2024 10:27 PM",,Published,Bourbon a Beginning,
Uncle Nearest - Representation in Whisky,,"August 17, 2024 4:20 AM",,,Bottle Bond,
Bourbon a Beginning- Old Crow,,"August 17, 2024 4:40 AM",,Published,Bourbon a Beginning,
Bourbon a Beginning - Evan Williams,,"August 17, 2024 4:45 AM",08/22/2024 6:00 PM (CDT),Published,Bourbon a Beginning,EVAN WILLIAMS 1783 SMALL BATCH
Bourbon a Beginning - Whisky Rebellion,,"August 17, 2024 4:46 AM",10/01/2024 6:00 PM (CDT),Published,Bourbon a Beginning,Michters
Prohibition - Glenmore,,"August 17, 2024 4:49 AM",,Planned,Bourbon a Beginning,
Glassware - How it Works,,"August 17, 2024 5:31 PM",,,Bottle Bond,
Bidders Remourse,,"August 17, 2024 6:43 PM",,,Bottle Bond,
Scotch a Beginning - Lindores,,"August 18, 2024 8:03 PM",,,Bottle Bond,
Bourbon a Beginning - Elijah Craig,Adam Lathers,"August 22, 2024 1:47 AM",08/22/2024 6:00 PM (CDT) → 10:00 PM,Published,Bourbon a Beginning,
Prohibition - Schenley,,"October 8, 2024 4:09 PM",,Filmed,Bourbon a Beginning,
Rebecca Creek,,"February 18, 2025 2:13 PM",,Planned,Texas Whisky,"Rebecca Creek Bottled in Bond, Rebecca Creek "
Tariffs and Takedowns,,"March 10, 2025 5:35 PM",,Planned,Bottle Bond,
