Name,Asset Type,File Type,When to use
Wordmark – Horizontal,Logo,SVG,
Roboto - Medium,Font,TTF,
Marketing Image 6,Image,JPG,
Wordmark – Vertical,Logo,PNG,
Marketing Image 1,"Image, Social",JPG,For social media covers and backgrounds.
Roboto - Regular,Font,TTF,
Marketing Image 4,Image,JPG,
Roboto - Bold,Font,TTF,
Logo,Logo,PNG,
Marketing Image 3,"Image, Social",JPG,
Marketing Image 2,Image,JPG,
Logo,Logo,SVG,
Roboto - Mono - Regular,Font,TTF,
Social Avatar,"Logo, Social",PNG,
Social Avatar - Primary,"Logo, Social",PNG,
Marketing Image 5,Image,JPG,
Wordmark – Vertical,Logo,SVG,
Roboto - Light,Font,TTF,
Social Banner,Social,PNG,
Wordmark – Horizontal,Logo,PNG,
Brand Guidelines,,,
A/V Elements,,,
Taglines/Slogans,,,
Brand Voice/Tone,,,
Imagery,,,
Typography,,,
Pallette,,,
