Name,Asset Type,File Type
A/V Elements,,
Brand Guidelines,,
Brand Voice/Tone,,
Imagery,,
Logo,Logo,PNG
Logo,Logo,SVG
Marketing Image 1,"Image, Social",JPG
Marketing Image 2,Image,JPG
Marketing Image 3,"Image, Social",JPG
Marketing Image 4,Image,JPG
Marketing Image 5,Image,JPG
Marketing Image 6,Image,JPG
Pallette,,
Roboto - Bold,Font,TTF
Roboto - Light,Font,TTF
Roboto - Medium,Font,TTF
Roboto - Mono - Regular,Font,TTF
Roboto - Regular,Font,TTF
Social Avatar,"Logo, Social",PNG
Social Avatar - Primary,"Logo, Social",PNG
Social Banner,Social,PNG
Taglines/Slogans,,
Typography,,
Wordmark – Horizontal,Logo,SVG
Wordmark – Horizontal,Logo,PNG
Wordmark – Vertical,Logo,PNG
Wordmark – Vertical,Logo,SVG
