Name,Assign,Channel,Link,Media,Media Type,Platform,Publication Date,Status,Type
Podcast Episode [PE] - 25-40 min,,,,,Audio Podcast Episode,Podcast,"December 25, 2024",Idea,
Video Podcast Episode [PE],,,,,Video,YouTube,"November 27, 2024",Idea,
First Episode is Live!!!! - Social Media Post,,,,,,All Relevant Platforms,"October 30, 2024",Idea,
,,,,,,,,,
Platforms :,,,,,,,,,
Play areound,,,,,,Twitter (X),,,
1st episode coming -Social Media Post,,,,,,All Relevant Platforms,"October 28, 2024",Idea,
Video Short - Chance and Adam welcome viewers,,,,,Video,All Relevant Platforms,"October 28, 2024",Idea,
Video - Here we Go! Episode 1 is coming!,,,,,Video,All Relevant Platforms,"October 27, 2024",Idea,
1st Episode goes Live Tomorow!,,,,,,All Relevant Platforms,"October 29, 2024",Idea,
Who is Chance? Joke Graphic,,,,Social%20Media%20Calendar/bb-who_chance.jpg,,All Relevant Platforms,"October 24, 2024",,
Graphic - What are ya drinkin?,,,,Social%20Media%20Calendar/bb-whatudrink.jpg,,All Relevant Platforms,"October 22, 2024",,
Graphic - Whisky? Marty Approves,,,,Social%20Media%20Calendar/bb-martyapprove.jpg,,All Relevant Platforms,"October 23, 2024",,
GRAND ANNOUNCEMENT,,,,Social%20Media%20Calendar/BB_-_Launch_Announce.jpg,,All Relevant Platforms,"October 21, 2024",,
Its Coming! - Podcast Re ANnounce,,,,,,All Relevant Platforms,"October 26, 2024",,
Bottle Crack - Smokewagon Halloween,,Bottle Crack,,,,All Relevant Platforms,"October 31, 2024",In Progress,
Elijah Craig - Bourbon a Beginning,,Bottle Bond,,,Audio Podcast Episode,Podcast,"October 30, 2024",Idea,
Podcast Episode [PE] - 25-40 min,,,,,Audio Podcast Episode,Podcast,"November 13, 2024",Idea,
Podcast Episode [PE] - 25-40 min,,,,,Audio Podcast Episode,Podcast,"November 27, 2024",Idea,
Podcast Episode [PE] - 25-40 min,,,,,Audio Podcast Episode,Podcast,"December 11, 2024",Idea,
Elijah Craig Bourbon a Beginning,,,,,Video,YouTube,"October 30, 2024",Idea,
Video Podcast Episode [PE],,,,,Video,YouTube,"November 13, 2024",Idea,
Bottle Crack - XXXXX,,Bottle Crack,,,,All Relevant Platforms,"November 7, 2024",,
Bottle Crack - XXXXX,,Bottle Crack,,,,All Relevant Platforms,"December 26, 2024",,
Bottle Crack - XXXXX,,Bottle Crack,,,,All Relevant Platforms,"November 14, 2024",,
Bottle Crack - XXXXX,,Bottle Crack,,,,All Relevant Platforms,"November 21, 2024",,
Bottle Crack - XXXXX,,Bottle Crack,,,,All Relevant Platforms,"November 28, 2024",,
Bottle Crack - XXXXX,,Bottle Crack,,,,All Relevant Platforms,"December 5, 2024",,
Bottle Crack - XXXXX,,Bottle Crack,,,,All Relevant Platforms,"December 12, 2024",,
Bottle Crack - XXXXX,,Bottle Crack,,,,All Relevant Platforms,"December 19, 2024",,
Graphic - XXXX,,,,,,All Relevant Platforms,"November 1, 2024",,
To Space  and Back again - Adams Story,,,,,Video,All Relevant Platforms,"October 25, 2024",,
